file,format,block_size,window_size,future_limit,max_matches,len3_dist_bits,len4_dist_bits,len5_dist_bits,len6_dist_bits,len7_dist_bits,lenx_dist_bits,lenx_len_bits
big_files/enwik6,binary,1048576,32768,18,16,4,6,6,8,8,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,6,8,8,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,6,8,8,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,6,8,8,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,6,8,10,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,6,8,10,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,6,8,10,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,6,8,10,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,6,8,10,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,6,8,10,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,6,8,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,6,8,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,6,8,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,6,8,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,6,8,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,6,8,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,6,8,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,6,8,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,6,8,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,6,8,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,6,8,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,6,8,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,6,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,6,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,6,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,6,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,6,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,6,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,6,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,6,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,6,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,6,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,6,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,6,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,6,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,6,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,6,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,6,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,6,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,6,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,6,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,6,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,6,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,6,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,6,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,6,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,6,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,6,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,6,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,6,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,6,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,6,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,6,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,6,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,6,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,6,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,6,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,6,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,8,8,8,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,8,8,8,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,8,8,8,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,8,8,8,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,8,8,8,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,8,8,8,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,8,8,10,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,8,8,10,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,8,8,10,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,8,8,10,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,8,8,10,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,8,8,10,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,8,8,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,8,8,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,8,8,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,8,8,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,8,8,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,8,8,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,8,8,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,8,8,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,8,8,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,8,8,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,8,8,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,8,8,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,8,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,8,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,8,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,8,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,8,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,8,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,8,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,8,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,8,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,8,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,8,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,8,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,8,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,8,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,8,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,8,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,8,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,8,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,8,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,8,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,8,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,8,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,8,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,8,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,8,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,8,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,8,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,8,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,8,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,8,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,8,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,8,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,8,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,8,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,8,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,8,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,10,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,10,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,10,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,10,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,10,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,10,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,10,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,10,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,10,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,10,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,10,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,10,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,10,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,10,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,10,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,10,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,10,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,10,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,10,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,10,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,10,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,10,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,10,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,10,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,10,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,10,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,10,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,10,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,10,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,10,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,10,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,10,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,10,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,10,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,10,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,10,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,12,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,12,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,12,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,12,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,12,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,12,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,6,15,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,6,15,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,6,15,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,6,15,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,6,15,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,6,15,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,8,8,8,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,8,8,8,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,8,8,8,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,8,8,8,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,8,8,8,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,8,8,8,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,8,8,10,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,8,8,10,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,8,8,10,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,8,8,10,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,8,8,10,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,8,8,10,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,8,8,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,8,8,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,8,8,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,8,8,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,8,8,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,8,8,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,8,8,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,8,8,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,8,8,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,8,8,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,8,8,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,8,8,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,8,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,8,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,8,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,8,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,8,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,8,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,8,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,8,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,8,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,8,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,8,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,8,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,8,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,8,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,8,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,8,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,8,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,8,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,8,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,8,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,8,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,8,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,8,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,8,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,8,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,8,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,8,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,8,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,8,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,8,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,8,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,8,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,8,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,8,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,8,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,8,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,10,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,10,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,10,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,10,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,10,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,10,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,10,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,10,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,10,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,10,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,10,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,10,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,10,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,10,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,10,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,10,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,10,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,10,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,10,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,10,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,10,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,10,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,10,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,10,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,10,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,10,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,10,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,10,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,10,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,10,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,10,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,10,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,10,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,10,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,10,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,10,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,12,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,12,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,12,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,12,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,12,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,12,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,8,15,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,8,15,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,8,15,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,8,15,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,8,15,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,8,15,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,10,10,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,10,10,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,10,10,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,10,10,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,10,10,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,10,10,10,10,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,10,10,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,10,10,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,10,10,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,10,10,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,10,10,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,10,10,10,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,10,10,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,10,10,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,10,10,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,10,10,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,10,10,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,10,10,10,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,10,10,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,10,10,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,10,10,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,10,10,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,10,10,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,10,10,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,10,10,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,10,10,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,10,10,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,10,10,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,10,10,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,10,10,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,10,10,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,10,10,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,10,10,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,10,10,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,10,10,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,10,10,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,10,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,10,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,10,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,10,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,10,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,10,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,10,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,10,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,10,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,10,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,10,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,10,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,10,12,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,10,12,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,10,12,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,10,12,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,10,12,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,10,12,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,10,15,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,10,15,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,10,15,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,10,15,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,10,15,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,10,15,15,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,12,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,12,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,12,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,12,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,12,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,12,12,12,12,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,12,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,4,4,12,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,16,4,12,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,128,4,12,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1024,4,12,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,999999999,4,12,12,12,15,15,4
big_files/enwik6,binary,1048576,32768,18,1,4,12,12,15,15,15,4
